Rank*,School District,Score,Expenditures for Public Elementary and Secondary Schools per Pupil,Income by School District
383,Belleview Elementary School District,25.92,"$13,006","$53,371"
384,Menifee Union Elementary School District,26.04,"$10,282","$67,764"
385,Yreka Union High School District,26.1,"$14,574","$44,910"
386,Ocean View School District,26.2,"$11,780","$59,691"
387,Riverbank Unified School District,26.33,"$13,064","$52,772"
388,Laytonville Unified School District,26.38,"$15,261","$41,061"
389,Escondido Union High School District,26.42,"$10,600","$65,809"
390,Mccloud Union Elementary School District,26.44,"$15,365","$40,469"
391,Midway Elementary School District,26.48,"$21,847","$43,250"
392,Moorpark Unified School District,26.66,"$10,335","$104,573"
393,Sylvan Union Elementary School District,26.72,"$10,114","$68,181"
394,Kern High School District,26.74,"$12,847","$53,641"
395,Piner Olivet Union Elementary School District,26.76,"$12,372","$93,818"
396,Tulare Joint Union High School District,26.77,"$13,538","$49,945"
397,Sierra Sands Unified School District,26.84,"$10,915","$63,836"
398,Central Unified School District,26.86,"$11,136","$62,652"
399,Irvine Unified School District,27.14,"$10,962","$101,576"
400,Colton Joint Unified School District,27.17,"$12,254","$56,486"
401,Jefferson Union High School District,27.19,"$11,892","$96,673"
402,Lemoore Union High School District,27.26,"$12,162","$56,917"
403,Ferndale Unified School District,27.27,"$13,194","$51,424"
404,Yosemite Unified School District,27.32,"$10,739","$64,438"
405,Cajon Valley Union School District,27.34,"$11,300","$61,440"
406,Clear Creek Elementary School District,27.38,"$9,741","$69,702"
407,Alisal Union School District,27.4,"$11,870","$58,371"
408,Lake Tahoe Unified School District,27.46,"$12,236","$56,380"
409,Empire Union Elementary School District,27.5,"$11,870","$58,295"
410,Perris Elementary School District,27.54,"$13,764","$48,200"
411,Auburn Union Elementary School District,27.56,"$10,837","$63,745"
412,Brentwood School District,27.6,"$10,586","$103,902"
413,Happy Valley Union School District,27.6,"$11,351","$60,984"
414,Ripon Unified School District,27.63,"$7,044","$83,863"
415,Cinnabar Elementary School District,27.85,"$14,398","$83,816"
416,Etiwanda Elementary School District,27.88,"$10,347","$105,367"
417,Pollock Pines Elementary School District,27.95,"$11,191","$61,588"
418,Cascade Union Elementary School District,28.05,"$15,458","$38,841"
419,Mt Diablo Unified School District,28.07,"$12,803","$92,445"
420,Kelseyville Unified School District,28.27,"$13,037","$51,552"
421,Hanford Joint Union High School District,28.3,"$11,661","$58,848"
422,Central School District,28.35,"$10,171","$66,730"
423,Calaveras Unified School District,28.38,"$11,908","$57,474"
424,Goleta Union School District,28.39,"$15,388","$78,927"
425,Capistrano Unified School District,28.62,"$9,388","$110,985"
426,Albany City Unified School District,28.67,"$13,596","$88,655"
427,San Lorenzo Valley Unified School District,28.69,"$5,736","$90,070"
428,San Juan Unified School District,28.72,"$11,096","$61,552"
429,Riverdale Joint Unified School District,28.84,"$13,126","$50,678"
430,Hughes Elizabeth Lakes Union School District,28.85,"$10,414","$65,086"
431,Mt Baldy Elementary School District,28.88,"$12,872","$52,000"
432,Hilmar Unified School District,28.89,"$11,220","$60,778"
433,Berkeley Unified School District,28.98,"$15,081","$80,979"
434,Novato Unified School District,29.07,"$11,526","$99,938"
435,Liberty Union High School District,29.11,"$11,157","$101,929"
436,Live Oak Unified School District,29.19,"$11,921","$56,835"
437,Oceanside Unified School District,29.24,"$11,020","$61,595"
438,Greenfield Union Elementary School District,29.25,"$12,020","$56,271"
439,Rescue Elementary School District,29.52,"$10,128","$107,686"
440,Snowline Joint Unified School District,29.73,"$11,433","$59,053"
441,Golden Plains Unified School District,29.96,"$15,323","$38,211"
442,Old Adobe Union School District,30.02,"$12,367","$96,135"
443,Mark Twain Union Elementary School District,30.02,"$10,685","$62,822"
444,Sequoia Union Elementary School District,30.08,"$10,628","$63,083"
445,Brittan Elementary School District,30.13,"$9,201","$70,638"
446,Santa Rita Union Elementary School District,30.25,"$9,988","$66,367"
447,Holtville Unified School District,30.26,"$13,379","$48,333"
448,Baldwin Park Unified School District,30.28,"$10,768","$62,201"
449,Burrel Union Elementary School District,30.61,"$14,692","$41,111"
450,Big Sur Unified School District,30.68,"$15,982","$34,205"
451,Anderson Union High School District,30.91,"$12,933","$50,250"
452,Shaffer Union Elementary School District,30.92,"$11,982","$55,294"
453,Three River Union Elementary School District,30.97,"$9,027","$70,972"
454,Bitterwater Tully Union School District,31.06,"$13,471","$91,000"
